id,category,name,profile-applicability,description,rationale,impact,audit,remediation,full auto,C,D,R,setting-name,expected-value,operator
7.8,virtual-machines,"Ensure unauthorized modification and disconnection of 
devices is disabled",Level 1,"In a virtual machine, users and processes without root or administrator privileges can 
disconnect devices, such as network adapters and CD-ROM drives, and modify device 
settings within the guest operating system. These actions should be prevented.","Disabling unauthorized modification and disconnection of devices helps prevents 
unauthorized changes within the guest operating system, which could be used to gain 
unauthorized access, cause denial of service conditions, and otherwise negatively affect 
the security of the guest operating system.  HINT: verify that isolation.device.edit.disable 
is set to TRUE. ",-,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""isolation.device.edit.disable"" | Select 
Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""isolation.device.edit.disable"" -value 
$true ",,1,0,1,isolation.device.edit.disable,True,eq
7.9,virtual-machines,"Virtual machines must prevent unauthorized connection 
of devices",Level 1,"In a virtual machine, users and processes without root or administrator privileges can 
connect devices, such as network adapters and CD-ROM drives. This should be 
prevented. ","Disabling unauthorized connection of devices helps prevents unauthorized changes 
within the guest operating system, which could be used to gain unauthorized access, 
cause denial of service conditions, and otherwise negatively affect the security of the 
guest operating system. HINT:  verify that isolation.device.connectable.disable is set to 
TRUE.",-,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""isolation.device.connectable.disable"" | 
Select Entity, Name, Value","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""isolation.device.connectable.disable"" 
value $true ",,1,0,1,isolation.device.connectable.disable,True,eq
7.12,virtual-machines,"Virtual machines must remove unnecessary USB/XHCI 
devices",Level 1,"Removing unnecessary devices from virtual machines minimizes the attack surface and 
reduces potential pathways for data exfiltration or unauthorized data capture. This 
practice aligns with the principle of least functionality, ensuring that VMs have only the 
essential components required to perform their designated functions. ","Eliminating unnecessary devices reduces attack surface and streamlines the virtual 
machine configuration, promoting a cleaner, more manageable, and less vulnerable 
setup. HINT: confirm that the following parameter is either 
NOT present or is set to FALSE: usb.present","Careful analysis and understanding of the virtual machine's requirements and 
dependencies are crucial before implementing this security control to avoid unintended 
disruptions or degradation of service. ","# Check for USB Devices attached to VMs 
Get-VM | Get-USBDevice","# Remove all USB Devices attached to VMs 
Get-VM | Get-USBDevice | Remove-USBDevice",,1,1,2,,Nessun dispositivo USB collegato,custom
7.13,virtual-machines,"Virtual machines must remove unnecessary serial port 
devices",Level 1,"Removing unnecessary devices from virtual machines minimizes the attack surface and 
reduces potential pathways for data exfiltration or unauthorized data capture. This 
practice aligns with the principle of least functionality, ensuring that VMs have only the 
essential components required to perform their designated functions. ","Eliminating unnecessary devices reduces attack surface and streamlines the virtual 
machine configuration, promoting a cleaner, more manageable, and less vulnerable 
setup.  HINT: confirm that the following parameter is either 
NOT present or is set to FALSE: serialX.present ","Careful analysis and understanding of the virtual machine's requirements and 
dependencies are crucial before implementing this security control to avoid unintended 
disruptions or degradation of service.","# In this Example you will need to add the functions from this post: 
http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in
powercli.html 
# Check for Serial ports attached to VMs 
Get-VM | Get-SerialPort ","# In this Example you will need to add the functions from this post: 
http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in
powercli.html 
# Remove all Serial Ports attached to VMs 
Get-VM | Get-SerialPort | Remove-SerialPort ",,1,1,2,,Nessuna porta seriale collegata,custom
7.14,virtual-machines,"Virtual machines must remove unnecessary parallel port 
devices",Level 1,"Removing unnecessary devices from virtual machines minimizes the attack surface and 
reduces potential pathways for data exfiltration or unauthorized data capture. This 
practice aligns with the principle of least functionality, ensuring that VMs have only the 
essential components required to perform their designated functions.","Eliminating unnecessary devices reduces attack surface and streamlines the virtual 
machine configuration, promoting a cleaner, more manageable, and less vulnerable 
setup. HINT:  confirm that the following parameter is either 
NOT present or is set to FALSE: parallelX.present ","Careful analysis and understanding of the virtual machine's requirements and 
dependencies are crucial before implementing this security control to avoid unintended 
disruptions or degradation of service. ","# In this Example you will need to add the functions from this post: 
http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in
powercli.html 
# Check for Parallel ports attached to VMs 
Get-VM | Get-ParallelPort ","# In this Example you will need to add the functions from this post: 
http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in
powercli.html 
# Remove all Parallel Ports attached to VMs 
Get-VM | Get-ParallelPort | Remove-ParallelPort ",,1,1,2,,Nessuna porta parallela collegata,custom
7.15,virtual-machines,"Virtual machines must remove unnecessary CD/DVD 
devices ",Level 2,"Removing unnecessary devices from virtual machines minimizes the attack surface and 
reduces potential pathways for data exfiltration or unauthorized data capture. This 
practice aligns with the principle of least functionality, ensuring that VMs have only the 
essential components required to perform their designated functions.","Eliminating unnecessary devices reduces attack surface and streamlines the virtual 
machine configuration, promoting a cleaner, more manageable, and less vulnerable 
setup. HINT:  confirm that the following parameter is 
either NOT present or is set to FALSE: ideX:Y.present ","Careful analysis and understanding of the virtual machine's requirements and 
dependencies are crucial before implementing this security control to avoid unintended 
disruptions or degradation of service. ","# Check for CD/DVD Drives attached to VMs 
Get-VM | Get-CDDrive","# Remove all CD/DVD Drives attached to VMs 
Get-VM | Get-CDDrive | Remove-CDDrive ",,1,0,1,,Nessun CD/DVD connesso,custom
7.16,virtual-machines,"Virtual machines must remove unnecessary floppy 
devices",Level 1,"Removing unnecessary devices from virtual machines minimizes the attack surface and 
reduces potential pathways for data exfiltration or unauthorized data capture. This 
practice aligns with the principle of least functionality, ensuring that VMs have only the 
essential components required to perform their designated functions.","Eliminating unnecessary devices reduces attack surface and streamlines the virtual 
machine configuration, promoting a cleaner, more manageable, and less vulnerable 
setup. HINT: confirm that the following parameter is either 
NOT present or is set to FALSE: floppyX.present ","Careful analysis and understanding of the virtual machine's requirements and 
dependencies are crucial before implementing this security control to avoid unintended 
disruptions or degradation of service. ","# Check for Floppy Devices attached to VMs 
Get-VM | Get-FloppyDrive | Select Parent, Name, ConnectionState ","# Remove all Floppy drives attached to VMs 
Get-VM | Get-FloppyDrive | Remove-FloppyDrive",,1,0,1,,Nessun floppy collegato,custom
7.17,virtual-machines,"Virtual machines must deactivate console drag and drop 
operations ",Level 1,VM console drag and drop operations should be disabled.,"VM console drag and drop operations are disabled by default (not explicitly specified), 
however, explicitly disabling this feature enables audit controls to check that this setting 
is correct. HINT: , verify that 
isolation.tools.dnd.disable is missing or set to TRUE.",-,"# List the VMs and their current settings 
Get-VM -Name $VM | Get-AdvancedSetting isolation.tools.dnd.disable ","# Add the setting to all VMs 
Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.dnd.disable",,1,0,1,isolation.tools.dnd.disable,True,eq
7.18,virtual-machines,"Virtual machines must deactivate console copy 
operations",Level 1,"Deactivating console copy operations is critical for preventing data transfer between the 
virtual machine and the local client, irrespective of the access method, whether via Web 
Console, VMRC, or others. The parameter governing this behavior is 
isolation.tools.copy.disable with a recommended setting of TRUE or Undefined. ","Deactivating console copy operations minimizes the risk of unauthorized data access or 
leakage, enforcing a higher level of data security and integrity across the virtual 
environment. HINT: verify that the 
isolation.tools.copy.disable option is missing or set to TRUE. ","There is no identified functional impact, however, this restriction enhances data security 
by minimizing unauthorized data transfer channels. ","# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.copy.disable"" | Select 
Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""isolation.tools.copy.disable"" -value 
$true",,1,0,1,isolation.tools.copy.disable,True,eq
7.19,virtual-machines,"Virtual machines must deactivate console paste 
operations",Level 1,"Disabling console paste operations on virtual machines obstructs data transfer from the 
local client to the VM, irrespective of the access method - be it Web Console, VMRC, or 
another console. This security measure aims to curtail potential avenues for 
unauthorized data transfer into the virtual environment. The parameter governing this 
behavior is isolation.tools.paste.disable with a recommended setting of TRUE or 
Undefined. ","By disabling console paste operations, organizations add a layer of security that helps 
in preventing unauthorized data introduction into the VM, which could potentially lead to 
various security risks. HINT: verify that 
isolation.tools.paste.disable is missing or set to TRUE.","There is no functional impact identified. The control simply enhances the security 
posture by reducing possible data transfer channels into the VM. ","# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.paste.disable""| Select 
Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""isolation.tools.paste.disable"" -value 
$true ",,1,0,1,isolation.tools.paste.disable,True,eq
7.21,virtual-machines,"Virtual machines must deactivate virtual disk shrinking 
operations",Level 1,"Disabling virtual disk shrinking on virtual machines prevents potential disk unavailability 
issues. This operation is usually restricted for non-administrative users within the guest 
environment. The parameter governing this behavior is isolation.tools.diskShrink.disable 
with a recommended setting of TRUE or Undefined. ","Shrinking a virtual disk reclaims unused space in it. If there is empty space in the disk, 
this process reduces the amount of space the virtual disk occupies on the host drive. 
Normal users and processes—that is, users and processes without root or administrator 
privileges—within virtual machines have the capability to invoke this procedure. 
However, if this is done repeatedly, the virtual disk can become unavailable while this 
shrinking is being performed, effectively causing a denial of service. In most datacenter 
environments, disk shrinking is not done, so you should disable this feature. Repeated 
disk shrinking can make a virtual disk unavailable. This capability is available to 
nonadministrative users in the guest. HINT: Verify that isolation.tools.diskShrink.disable is set to TRUE.",There is no functional impact noted.,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name  ""isolation.tools.diskShrink.disable""| 
Select Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""isolation.tools.diskShrink.disable"" 
value $true",,1,0,1,isolation.tools.diskShrink.disable,True,eq
7.22,virtual-machines,"Virtual machines must deactivate virtual disk wiping 
operations ",Level 1,"Wiping a virtual disk reclaims all unused space in it. If there is empty space in the disk, 
this process reduces the amount of space the virtual disk occupies on the host drive. If 
virtual disk wiping is done repeatedly, it can cause the virtual disk to become 
unavailable while wiping occurs. In most datacenter environments, disk wiping is not 
needed, but normal users and processes--without administrative privileges--can issue 
disk wipes unless the feature is disabled. ","Deactivating virtual disk wiping operations contributes to maintaining disk availability, 
which is vital for continuous system operations. HINT:  verify that 
isolation.tools.diskWiper.disable is set to TRUE. ",There isn't a functional impact noted,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name  ""isolation.tools.diskWiper.disable""| 
Select Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""isolation.tools.diskWiper.disable"" -value 
$true ",,1,0,1,isolation.tools.diskWiper.disable,True,eq
7.24,virtual-machines,"Virtual machines must not be able to obtain host 
information from the hypervisor",Level 1,"Configure VMware Tools to disable host information from being sent to guests unless a 
particular VM requires this information for performance monitoring purposes. ","By enabling a VM to get detailed information about the physical host, an adversary 
could potentially use this information to inform further attacks on the host. HINT: Verify that tools.guestlib.enableHostInfo is set to FALSE.",-,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name  ""tools.guestlib.enableHostInfo""| Select 
Entity, Name, Value","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""tools.guestlib.enableHostInfo"" -value 
$false",,1,0,1,tools.guestlib.enableHostInfo,False,eq
7.26,virtual-machines,"Virtual machines must limit the number of retained 
diagnostic logs",Level 1,"Limiting the number of retained diagnostic logs in virtual machines helps in managing 
datastore space effectively without hampering diagnostic capabilities. The parameter 
governing this behavior is log.keepOld with a recommended setting of 10 or Undefined. ","Maintaining a sensible limit on the number of diagnostic logs retained helps in avoiding 
potential issues related to datastore space exhaustion, while still retaining a useful set 
of recent logs for troubleshooting purposes. ",There is no negative functional impact. ,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""log.keepOld""| Select Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""log.keepOld"" -value ""10""",,1,0,1,log.keepOld,10,eq
7.27,virtual-machines,Virtual machines must limit the size of diagnostic logs,Level 1,"Limiting the size of diagnostic logs on virtual machines ensures efficient utilization of 
datastore space, particularly beneficial for long-running VMs. This control assists in 
maintaining an optimal balance between diagnostic capabilities and storage resources. 
The parameter governing this behavior is log.rotateSize.","Setting a limit on the size of diagnostic logs helps in preventing excessive space 
consumption, thus ensuring that ample storage remains available for other essential 
operations. HINT: Verify that log.rotateSize is set to 1024000.","There is no negative functional impact identified by limiting the size of diagnostic logs. 
This control facilitates proficient management of storage resources, ensuring other vital 
functions are not compromised due to space exhaustion.","# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name  ""log.rotateSize""| Select Entity, Name, 
Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""log.rotateSize"" -value ""1024000"" ",,1,0,1,log.rotateSize,1024000,eq
